municipio_norm,uf_sigla,municipio_ri_norm,observacao
SAO PEDRO DA CIPA,MT,JUSCIMEIRA,Importado da revisao - sugestao distancia (JUSCIMEIRA)
TESOURO,MT,GUIRATINGA,Importado da revisao - sugestao distancia (GUIRATINGA)
TORIXOREU,MT,BARRA DO GARCAS,Importado da revisao - sugestao distancia (BARRA DO GARCAS)
UNIAO DO SUL,MT,MARCELANDIA,Importado da revisao - sugestao distancia (MARCELANDIA)
VALE DE SAO DOMINGOS,MT,JAURU,Importado da revisao - sugestao distancia (JAURU)
ABATIA,PR,RIBEIRAO DO PINHAL,Importado da revisao - sugestao distancia (RIBEIRAO DO PINHAL)
ADRIANOPOLIS,PR,BOCAIUVA DO SUL,Importado da revisao - sugestao distancia (BOCAIUVA DO SUL)
AGUDOS DO SUL,PR,FAZENDA RIO GRANDE,Importado da revisao - sugestao distancia (FAZENDA RIO GRANDE)
ALTAMIRA DO PARANA,PR,CAMPINA DA LAGOA,Importado da revisao - sugestao distancia (CAMPINA DA LAGOA)
ALTO PARAISO,PR,CERRO AZUL,Importado da revisao - sugestao distancia (CERRO AZUL)
ALVORADA DO SUL,PR,PORECATU,Importado da revisao - sugestao distancia (PORECATU)
AMAPORA,PR,PARAISO DO NORTE,Importado da revisao - sugestao distancia (PARAISO DO NORTE)
ANAHY,PR,NOVA AURORA,Importado da revisao - sugestao distancia (NOVA AURORA)
ANTONIO OLINTO,PR,SAO MATEUS DO SUL,Importado da revisao - sugestao distancia (SAO MATEUS DO SUL)
ARAPUA,PR,IVAIPORA,Importado da revisao - sugestao distancia (IVAIPORA)
ARARUNA,PR,PEABIRU,Importado da revisao - sugestao distancia (PEABIRU)
ARIRANHA DO IVAI,PR,MANOEL RIBAS,Importado da revisao - sugestao distancia (MANOEL RIBAS)
ATALAIA,PR,NOVA ESPERANCA,Importado da revisao - sugestao distancia (NOVA ESPERANCA)
BALSA NOVA,PR,CAMPO LARGO,Importado da revisao - sugestao distancia (CAMPO LARGO)
BARRA DO JACARE,PR,ANDIRA,Importado da revisao - sugestao distancia (ANDIRA)
BELA VISTA DA CAROBA,PR,REALEZA,Importado da revisao - sugestao distancia (REALEZA)
BITURUNA,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
BOA ESPERANCA,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
BOA ESPERANCA DO IGUACU,PR,SALTO DO LONTRA,Importado da revisao - sugestao distancia (SALTO DO LONTRA)
BOA VENTURA DE SAO ROQUE,PR,PITANGA,Importado da revisao - sugestao distancia (PITANGA)
BOA VISTA DA APARECIDA,PR,CAPITAO LEONIDAS MARQUES,Importado da revisao - sugestao distancia (CAPITAO LEONIDAS MARQUES)
BOM JESUS DO SUL,PR,BARRACAO,Importado da revisao - sugestao distancia (BARRACAO)
BOM SUCESSO,PR,JANDAIA DO SUL,Importado da revisao - sugestao distancia (JANDAIA DO SUL)
BOM SUCESSO DO SUL,PR,CERRO AZUL,Importado da revisao - sugestao distancia (CERRO AZUL)
BORRAZOPOLIS,PR,SAO JOAO DO IVAI,Importado da revisao - sugestao distancia (SAO JOAO DO IVAI)
BRAGANEY,PR,CORBELIA,Importado da revisao - sugestao distancia (CORBELIA)
BRASILANDIA DO SUL,PR,ALTO PIQUIRI,Importado da revisao - sugestao distancia (ALTO PIQUIRI)
CAFEARA,PR,CENTENARIO DO SUL,Importado da revisao - sugestao distancia (CENTENARIO DO SUL)
CAFELANDIA,PR,NOVA AURORA,Importado da revisao - sugestao distancia (NOVA AURORA)
CAFEZAL DO SUL,PR,ALTO PIQUIRI,Importado da revisao - sugestao distancia (ALTO PIQUIRI)
CALIFORNIA,PR,MARILANDIA DO SUL,Importado da revisao - sugestao distancia (MARILANDIA DO SUL)
CAMBIRA,PR,JANDAIA DO SUL,Importado da revisao - sugestao distancia (JANDAIA DO SUL)
CAMPINA DO SIMAO,PR,PITANGA,Importado da revisao - sugestao distancia (PITANGA)
CAMPO BONITO,PR,GUARANIACU,Importado da revisao - sugestao distancia (GUARANIACU)
CAMPO MAGRO,PR,CAMPO LARGO,Importado da revisao - sugestao distancia (CAMPO LARGO)
CAMPO DO TENENTE,PR,RIO NEGRO,Importado da revisao - sugestao distancia (RIO NEGRO)
CANDOI,PR,CANTAGALO,Importado da revisao - sugestao distancia (CANTAGALO)
CARAMBEI,PR,CASTRO,Importado da revisao - sugestao distancia (CASTRO)
CONSELHEIRO MAIRINCK,PR,IBAITI,Importado da revisao - sugestao distancia (IBAITI)
CONTENDA,PR,ARAUCARIA,Importado da revisao - sugestao distancia (ARAUCARIA)
CORONEL DOMINGOS SOARES,PR,PALMAS,Importado da revisao - sugestao distancia (PALMAS)
CORUMBATAI DO SUL,PR,BARBOSA FERRAZ,Importado da revisao - sugestao distancia (BARBOSA FERRAZ)
CRUZ MACHADO,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
CRUZEIRO DO IGUACU,PR,DOIS VIZINHOS,Importado da revisao - sugestao distancia (DOIS VIZINHOS)
CRUZEIRO DO SUL,PR,PARANACITY,Importado da revisao - sugestao distancia (PARANACITY)
CRUZMALTINA,PR,FAXINAL,Importado da revisao - sugestao distancia (FAXINAL)
CEU AZUL,PR,MATELANDIA,Importado da revisao - sugestao distancia (MATELANDIA)
DIAMANTE D'OESTE,PR,SANTA HELENA,Importado da revisao - sugestao distancia (SANTA HELENA)
DIAMANTE DO NORTE,PR,NOVA LONDRINA,Importado da revisao - sugestao distancia (NOVA LONDRINA)
DIAMANTE DO SUL,PR,GUARANIACU,Importado da revisao - sugestao distancia (GUARANIACU)
DOURADINA,PR,ICARAIMA,Importado da revisao - sugestao distancia (ICARAIMA)
DOUTOR CAMARGO,PR,MANDAGUACU,Importado da revisao - sugestao distancia (MANDAGUACU)
DOUTOR ULYSSES,PR,JAGUARIAIVA,Importado da revisao - sugestao distancia (JAGUARIAIVA)
ENTRE RIOS DO OESTE,PR,SANTA HELENA,Importado da revisao - sugestao distancia (SANTA HELENA)
ENEAS MARQUES,PR,FRANCISCO BELTRAO,Importado da revisao - sugestao distancia (FRANCISCO BELTRAO)
ESPERANCA NOVA,PR,PEROLA,Importado da revisao - sugestao distancia (PEROLA)
